Genre,GenreLemma,Cluster,UMAP0,UMAP1
fiction made with the nationalboard,fiction make with the nationalboard,4,-3.6712353,2.0923488
gangster-thriller,gangster-thriller,4,-2.509436,0.8419171
heist-comedy,heist-comedy,4,-2.8703277,0.9701887
historical biodrama on the early years of hitler,historical biodrama on the early year of hitler,4,-3.6209056,1.9983909
horror from the novel by bram stoker,horror from the novel by bram stoker,4,-3.721982,1.983811
horror-thriller,horror-thriller,4,-2.5505614,0.8412572
inspired by true event,inspire by true event,4,-3.477713,1.9553844
lgbt-themed comedy-drama,lgbt-theme comedy-drama,4,-2.7348757,1.6585883
musical-comedy,musical-comedy,4,-2.9043703,1.1356426
rom-com-drama,rom-com-drama,4,-2.5340688,1.7134445
romance-action,romance-action,4,-2.7165196,0.93891174
romance-horror,romance-horror,4,-2.6861997,0.85197693
romantic-comedy,romantic-comedy,4,-2.9231052,1.1101695
sci-fi action-comedy,sci-fi action-comedy,4,-2.7635605,1.4863707
sci-fi for children,sci-fi for child,4,-3.1641173,1.4948272
slice of life,slice of life,4,-3.104724,1.5637095
suspense-thriller,suspense-thriller,4,-2.7065356,0.953039
teen rom-com-drama,teen rom-com-drama,4,-2.7611485,1.6404945
war-comedy,war-comedy,4,-2.8856966,1.0913776
war-time romance melodrama,war-time romance melodrama,4,-2.932799,2.089757
western-comedy,western-comedy,4,-2.918346,1.2863744
action adventure sci-fi,action adventure sci-fi,5,-2.105962,4.8545475
action adventure thriller spy,action adventure thriller spy,5,-2.4901981,5.3609138
action crime thriller,action crime thriller,5,-2.406598,4.7307577
action mystery thriller,action mystery thriller,5,-2.404131,5.0924053
action-adventure science fantasy,action-adventure science fantasy,5,-2.2600043,5.196105
adventure action comedy,adventure action comedy,5,-1.6988947,5.21137
adventure horror,adventure horror,5,-2.7572365,4.282152
adventure thriller,adventure thriller,5,-2.6454859,4.7111397
animation martial arts action-comedy,animation martial art action-comedy,5,-2.304691,5.13188
anime action adventure,anime action adventure,5,-2.2266374,4.817427
anime drama mystery fantasy,anime drama mystery fantasy,5,-2.4426615,5.4746594
campus thriller,campus thriller,5,-2.8271189,4.5780516
cbc-tv miniseries,cbc-tv miniserie,5,-2.8912325,4.0651073
comedy drama anime,comedy drama anime,5,-1.7416221,4.6150174
conspiracy thriller,conspiracy thriller,5,-2.75309,4.538438
costume action adventure,costume action adventure,5,-2.1980374,4.9866295
costume martial arts,costume martial art,5,-1.3236974,5.0192766
costume social drama,costume social drama,5,-1.2770568,5.018579
crime dramedy,crime dramedy,5,-2.4654555,4.4437485
crime suspense romance,crime suspense romance,5,-2.123975,5.34803
crime thriller,crime thriller,5,-2.8219328,4.641972
crime thriller romance,crime thriller romance,5,-2.298786,5.372912
drama action,drama action,5,-2.0029492,4.614925
drama action adventure,drama action adventure,5,-2.1140413,5.068314
drama comedy,drama comedy,5,-2.0568395,5.4200206
drama family romance war,drama family romance war,5,-1.9677504,5.2547264
drama horror thriller,drama horror thriller,5,-2.5191646,5.3598614
drama romance,drama romance,5,-1.6687438,5.2953463
drama thriller,drama thriller,5,-2.3751822,5.1933603
drama war,drama war,5,-1.5711997,5.3961105
espionage thriller,espionage thriller,5,-2.7071345,4.379465
family comedy romance,family comedy romance,5,-2.0447817,5.3279934
family drama romance,family drama romance,5,-2.012205,5.3242936
family romance action,family romance action,5,-1.8646263,4.9757237
fantasy adventure comedy,fantasy adventure comedy,5,-1.6936496,4.9800925
gangster thriller,gangster thriller,5,-2.5082648,4.2066665
horror drama comedy,horror drama comedy,5,-2.3224304,5.467675
horror rom-com,horror rom-com,5,-2.0498526,4.5814934
horror thriller,horror thriller,5,-2.6971061,4.480193
kungfu action,kungfu action,5,-1.6258645,4.441414
kungfu action drama,kungfu action drama,5,-1.6080804,4.4223375
mystery thriller,mystery thriller,5,-2.682943,4.521866
period thriller,period thriller,5,-2.7881844,4.5657825
psycho thriller,psycho thriller,5,-2.7003205,4.440823
reincarnation suspense thriller,reincarnation suspense thriller,5,-2.467769,5.153323
road thriller,road thriller,5,-2.8477914,4.631839
romance action drama,romance action drama,5,-2.1597824,5.364011
romance crime drama,romance crime drama,5,-2.146769,5.2595716
romance drama war,romance drama war,5,-2.2763505,5.541845
romance dramedy,romance dramedy,5,-2.6391256,4.4858613
romance social drama,romance social drama,5,-1.2142162,4.956343
romance suspense,romance suspense,5,-2.5685525,4.41448
romance suspense thriller,romance suspense thriller,5,-2.4492753,5.197883
romance thriller,romance thriller,5,-2.7163756,4.555638
romance thriller drama,romance thriller drama,5,-2.3647192,5.4660873
sci-fi drama supernatural,sci-fi drama supernatural,5,-2.387289,5.4833107
superhero action adventure,superhero action adventure,5,-2.2498782,4.8854103
suspense thriller,suspense thriller,5,-2.5021236,4.2576485
television miniseries,television miniserie,5,-2.9156897,4.0898004
thriller action,thriller action,5,-2.285385,4.1952057
